Nr wpisu,Data dokonania wpisu,Nazwa przedsiębiorcy zagranicznego,Siedziba przedsiębiorcy zagranicznego,Kraj przedsiębiorcy zagranicznego,Forma prawna przedsiębiorcy zagranicznego,Przedmiot głównej działalności gospodarczej przedsiębiorcy zagranicznego,Imię i nazwisko osoby upoważnionej w przedstawicielstwie do reprezentowania przedsiębiorcy zagranicznego,Adres siedziby przedstawicielstwa na terytorium RP,Kod pocztowy,Miasto,Województwo,Data wykreślenia przedstawicielstwa z rejestru,Ostatni dzień obowiązywania wpisu
441/R,2017-04-19,TECHNOLOGY BACKOFFICE CONSULTING LIMITED,"Regus Santry, The Crescent Building, Block B, Northwood, Santry Dublin 9",Irlandia,spółka z o.o.,"Usługi back office dla firm z branży handlu elektronicznego (e-commerce). Usługi marketingowe, prawne, finansowe i księgowe, doradztwo w zakresie technologii oraz bezpieczeństwa transakcji internetowych.",Zbigniew Popowski,"ul. Złota 59, lok. 653 - Centrum Biznesowe Tarasy",00-120,Warszawa,mazowieckie,Wykreślone 01-05-2024,
442/R,2017-04-19,BACKOFFICE PARTNERSHIP CONSULTING LIMITED,Molesworth Street 20 D02 T250 Dublin,Irlandia,spółka z o.o.,"Usługi back office dla firm z branży handlu elektronicznego (e-commerce). Usługi marketingowe, prawne, finansowe i księgowe, doradztwo w zakresie technologii oraz bezpieczeństwa transakcji internetowych.",Zbigniew Popowski,"ul. Złota 59, lok. 653 - Centrum Biznesowe Tarasy",00-120,Warszawa,mazowieckie,Wykreślone 01-05-2024,
443/R,2017-04-19,INTEGRATED BACKOFFICE CONSULTING LIMITED,"77 Sir John Rogersons Quay, Block C, Grand Canal Docklands Dublin 2 ",Irlandia,spółka z o.o.,"Usługi back office dla firm z branży handlu elektronicznego (e-commerce). Usługi marketingowe, prawne, finansowe i księgowe, doradztwo w zakresie technologii oraz bezpieczeństwa transakcji internetowych.",Zbigniew Popowski,"ul. Złota 59, lok. 653 - Centrum Biznesowe Tarasy",00-120,Warszawa,mazowieckie,Wykreślone 01-05-2024,
444/R,2017-04-19,BACKOFFICE CONSULTING LIMITED,Molesworth Street 20 D02 T250 Dublin,Irlandia,spółka z o.o.,"Usługi back office dla firm z branży handlu elektronicznego (e-commerce). Usługi marketingowe, prawne, finansowe i księgowe, doradztwo w zakresie technologii oraz bezpieczeństwa transakcji internetowych.",Zbigniew Popowski,"ul. Złota 59, lok. 653 - Centrum Biznesowe Tarasy",00-120,Warszawa,mazowieckie,Wykreślone 01-05-2024,
446/R,2017-04-25,"VIVA AGRO Towarystwo z obmeżenoju widpowidalnistju (nazwa skrócona: TOW ""VIVA AGRO"")",Prosp. Peremogy 96 lok. 1 03062 Kijów,Ukraina,spółka z o.o.,"Sprzedaż hurtowa zbóż, nieprzetworzonego tytoniu, nasion i paszy dla zwierząt. Sprzedaż hurtowa produktów chemicznych.",Bogdan Wasilewski,ul. Spiska 1,91-612,Łódź,łódzkie,Wykreślone 11-07-2020,
447/R,2017-05-22,Pfannenberg Europe GmbH,Werner-Witt-Str. 1 21035 Hamburg  ,Niemcy,spółka z o.o.,Handel wyrobami i wyposażeniem elektronicznym i elektrotechnicznym na skalę europejską oraz podejmowanie wszelkiej powiązanej działalności.,Jan Lautenschlager,Al. Jana Pawła II 11 lok. 1023,00-828,Warszawa,mazowieckie,Wykreślone 01-05-2022,
448/R,2017-06-20,Waldemar Rachwalski - prowadzący działalność pod nazwą: INTERCONFEX Dipl.-Kfm. Waldemar Rachwalski Handelsvertretungen,Flehenberg 5 42489 Wülfrath ,Niemcy,osoba fizyczna prowadząca działalność gospodarczą,Przedstawicielstwo handlowe firm włókienniczych. Pośrednictwo w zawieraniu transakcji eksportowych w branży odzieżowej i tekstylnej.,Jacek Wojciechowski,ul. Jana Kiepury 8 A,95-070,Aleksandrów Łódzki,łódzkie,Wykreślone 04-10-2024,
451/R,2017-07-20,"Towarystwo z obmeżenoju widpowidalnistju ""LEM"" (nazwa skrócona: TOW ""LEM"")",ul. Artema 169-V m. 68 83121 Donieck,Ukraina,spółka z o.o.,Sprzedaż hurtowa niewyspecjalizowana (przeważający rodzaj działalności).,"Yevgen Suleymanov, Nataliya Suleymanova, Dzianis Bobikau",ul. Sołtysowicka 30/313,51-168,Wrocław,dolnośląskie,Wykreślone 01-05-2022,
452/R,2017-07-20,CARERS BOOK LTD,Kingston Road 590 SW20 8DN Londyn,Wielka Brytania,spółka z o.o.,Inna działalność agencji wyszukiwania pracy.,Bożena Szota-Majewska,ul. Zgrzebnioka 43 A/11,41-106,Siemianowice Śląskie,śląskie,Wykreślone 11-07-2020,
453/R,2017-07-27,HDC MEDICAL TRICHOLOGY CENTRE LIMITED,Protagora 6 1045 Nikozja,Cypr,spółka z o.o.,Transplantacje włosów.,Piotr Olszówka,ul. Skierniewicka 34/224,01-230,Warszawa,mazowieckie,Wykreślone 11-07-2020,
454/R,2017-02-08,JSP Limited,Lypiatt Road GL50 2QJ Cheltenham,Wielka Brytania,spółka z o.o.,"Produkcja pozostałych wyrobów z tworzyw sztucznych (KOD SIC 22290); produkcja pozostałych wyrobów, gdzie indziej niesklasyfikowanych (Kod SIC 32990).",Adam Zimoch,ul. Prusa 1/34,50-319,Wrocław,dolnośląskie,Wykreślone 11-07-2020,
455/R,2017-08-22,Disano Illuminazione S.P.A.,Viale Lombardia 0129 CAP 20089 Rozzano,Włochy,spółka akcyjna,"Projektowanie i produkcja urządzeń oświetleniowych dla ludności, przemysłu oraz oświetlenia miejskiego. Sprzedaż, import i eksport urządzeń oświetleniowych dla ludności, przemysłu oraz oświetlenia miejskiego. Świadczenie specjalistycznych usług doradztwa w zakresie doboru produktów Spółki. Doradztwo techniczne w zakresie prawidłowego stosowania produktów Spółki, modernizacji i użytkowania instalacji oświetleniowych. ",Paolo Nicoletti,ul. Bitwy Warszawskiej 1920 r. 21/21,02-366,Warszawa,mazowieckie,Aktywne,30.04.2026
456/R,2017-08-23,UNIS GROUP B.V.,Biensma 33A 9001XZ Grou,Niderlandy,spółka z o.o.,"Sprzedaż hurtowa komputerów, sprzętu peryferyjnego i oprogramowania, naprawa urzadzeń elektronicznych i optycznych.",Łukasz Paluch,ul. Armii Krajowej 61,50-541,Wrocław,dolnośląskie,Wykreślone 11-07-2020,
457/R,2017-08-25,HUNTER INDUSTRIES INCORPORATED,Diamond Street1940 CA 92078 San Marcos,Stany Zjednoczone Ameryki,spółka prawa stanu Delaware,Wprowadzanie do obrotu systemów oświetlenia zewnętrznego i systemów nawadniania.,Wojciech Jerzy Rudziński,ul. Zuga 14/2,01-806,Warszawa,mazowieckie,Aktywne,30.04.2026
459/R,2017-07-09,Aleid Company for Food and Cosmetics Trade,"ul. Alrazi 122/1 11973 Amman, Jabal Al Hussein",Jordania,spółka z o.o.,"Handel artykułami do pielegnacji skóry i włosów. Marketing i handel żywnością. Import i eksport, sprzedaż i kupno artykułów spożywczych. Reprezentacja spółek krajowych i zagranicznych.",Bashar Subhi Shehadeh Al-Eid,ul. Twarda 44,00-831,Warszawa,mazowieckie,Wykreślone 11-07-2020,
460/R,2017-12-10,"UAB ""JP ir partneriai""",ul. Kareiviu 6 LT-09117 Wilno,Litwa,spółka z o.o.,"Konsultacje, usługi prawne, handel, produkcja, import i eksport, kupno/sprzedaż/wynajem nieruchomości, konsultacje, pośrednictwo, inna handlowa działalność gospodarcza.",Jean Pierre Abi Mansour ,ul. Złota 75A-7,00-819,Warszawa,mazowieckie,Aktywne,30.04.2026
461/R,2017-10-19,PARSONS GOVERNMENT SERVICES INTERNATIONAL INC.,West Walnut Street 100 CA 91124 Pasadena,Stany Zjednoczone Ameryki,spółka akcyjna prawa stanu Delaware,Działalność związana z oprogramowaniem i zarządzaniem urządzeniami informatycznymi.,"Władysław Rzycki, Klaudia Lorent",Pl. Małachowskiego 2,00-066,Warszawa,mazowieckie,Wykreślone 11-07-2020,
464/R,2017-06-12,OKTOPRO EOOD,bul. Primorski 57 9000 Warna,Bułgaria,jednoosobowa spółka z o.o.,"Opracowywanie programowania (dla przemysłu budowlanego), wykorzystywanie oprogramowania w działalności handlowej przez spółki zależne oraz niezależnych partnerów.",Adam Woch,Al. Niepodległości 55,43-100,Tychy,śląskie,Wykreślone 01-05-2024,
466/R,2018-01-18,VAG s.r.o.,Lipová alej 3087/1 695 01 Hodonin,Republika Czeska,spółka z o.o.,"Produkcja, handel i usługi (nie podane w zał. 1-3 czeskiej ustawy o działalności gospodarczej), obróbka, kowalstwo, kuźnictwo, ślusarstwo, produkcja narzędzi, odlewnictwo, modelarstwo odlewnicze.",Agata Padée,ul. Sienna 73,00-833,Warszawa,mazowieckie,Wykreślone 06-12-2022,
467/R,2018-01-02,Groene Hart Service Detachering B.V.,Fokkerstraat 5 2811 EN Reeuwijk,Niderlandy,spółka z o.o.,Działalność agencji pracy tymczasowej. Działalność usługowa związana z administracyjną obsługą biura.,Bogdan Rzeszutek,ul. Krótka 2A   ,57-200,Ząbkowice Śląskie,dolnośląskie,Aktywne,30.04.2026
470/R,2018-02-19,"Akcine bendrove ""Lietuvos geleżinkeliai""",Geležinkelio g.16 LT-02100 Wilno ,Litwa,spółka akcyjna,Transport lądowy (kolejowy).,Andrius Jovaiša,"Rondo ONZ 1, XII piętro",00-124,Warszawa,mazowieckie,Wykreślone 01-05-2024,
473/R,2018-03-13,MIRELE S.R.L.,Via Rimini 7 59100 Prato,Włochy,spółka z o.o.,"Najem nieruchomości własnych lub oddanych w leasing (najem). Kupno sprzedaż nieruchomości, realizowana w zakresie własnych dóbr.",Elena Kayzman,ul. Dolna 17 lok. A_02,00-773,Warszawa,mazowieckie,Wykreślone 11-07-2020,
475/R,2018-07-05,Expressions Parfumees ,Chemin de Saint Marc 136 06130 Grasse,Francja,spółka akcyjna,"Kupno, wytwarzanie, sprzedaż, pośrednictwo w zakresie surowców, składu, produktów gotowych i substancji aromatycznych do celów perfumeryjnych, kosmetycznych oraz na potrzeby wszelkich gałęzi przemysłu stosującego substancje aromatyczne.",Małgorzata Bartkowiak,Al. Jerozolimskie 195 A,02-222,Warszawa,mazowieckie,Wykreślone 08-05-2022,
477/R,2018-06-25,XINYI GLASS (POLAND) LTD,"135 Hoi Bun Road, Unit 2101-2108, 21/F, Rykadan Capital Tower Kowloon, Kwun Tong",Chiny/Hongkong,spółka z o.o.,Wszelka działalność gospodarcza dopuszczona przez prawo chińskie (holding inwestycyjny).,Sun Zhongsheng,ul. Rzeźnicka 9 A,82-300,Elbląg,warmińsko-mazurskie,Wykreślone 28-09-2020,
478/R,2018-11-07,"CHINA CAMC ENGINEERING CO., LTD.",Al. Danling 3 100080 Pekin,Chiny,spółka akcyjna,"Oddelegowywanie za granicę pracowników do realizacji projektów inżynieryjnych, produkcyjnych i usługowych (z wyłączeniem marynarzy), wykonawstwo w zagranicznych projektach inżynieryjnych i międzynarodowych projektach inżynieryjnych w kraju, eksport urządzeń i materiałów potrzebnych przy realizacji w/w projektów, realizacja na własną rękę oraz w charakterze agenta importu i eksportu różnego rodzaju towarów i technologii (poza technologiami i towarami objętymi ograniczeniami lub zakazem importu/eksportu), działalność typu 3+1 (produkcja na zamówienie z importowanych surowców, wzorów i próbek oraz handel kompensacyjny), handel wymienny i reeksport, (przedsiębiorstwo samo wybiera zakres działalności, pozycje, dla których wymagane jest uzyskanie pozwolenia, działalność dopiero po uzyskaniu zezwolenia odpowiedniego organu, zakaz podejmowania działalności z zakresu pozycji objętych zakazem lub ograniczeniami danego miasta).",Duan Tiezhu ,ul. Grzybowska 2 lok. 29,00-131,Warszawa,mazowieckie,Wykreślone 11-07-2020,
479/R,2018-07-17,SOCIETE D'EXPLOITATION DES ETABLISSEMENTS J. VEYNAT,Avenue de Branne 62 33370 Tresses,Francja,spółka akcyjna z zarządem i radą nadzorczą,Transport publiczny towarów. Wynajem pojazdów przemysłowych. Spedycja.,Monika Fornier ,ul. Widok 11,62-070,Dąbrówka,wielkopolskie,Aktywne,30.04.2026
480/R,2018-07-20,Rémy Cointreau International Marketing Services,rue Joseph Pataa 16100 Cognac,Francja,spółka akcyjna uproszczona,"Prowadzenie wszelkiego rodzaju usług w dziedzinie gospodarki, marketingu, finansów, administracji i kontroli zarządzania; zarządzanie personelem niezbędne w związku z powyższą działalnością oraz wszelkie czynności z tym związane.",Mateusz Zabiegaj,Al. Jana Chrystiana Szucha 19,00-580,Warszawa,mazowieckie,Aktywne,20.07.2026
481/R,2018-08-30,KOMSA Systems GmbH,Ringstraße 23 09241 Mühlau,Niemcy,spółka z o.o.,"Projektowanie, produkcja, przetwarzanie i dystrybucja oraz handel produktami związanymi ze sprzętem komputerowym i oprogramowaniem, a także świadczenie usług z dziedziny technologii informacyjnej i komunikacyjnej.",Piotr Worobiec,ul. Michalczyka 5,53-633,Wrocław,dolnośląskie,Wykreślone 31-08-2020,
482/R,2018-03-09,GIC International GmbH,Monschauer Strasse 12 40549 Düsseldorf,Niemcy,spółka z o.o.,"Import - eksport, handel hurtowy i detaliczny, pośrednictwo w handlu maszynami, częściami zamiennymi i urządzeniami przemysłowymi oraz inwestycje w projekty gospodarcze, inwestycje w projekty krajowe i zagraniczne na zasadzie współpracy. ",Tomasz Warchalewski ,ul. Szlak 77 lok. 222,31-153,Kraków,małopolskie,Aktywne,03.09.2026
483/R,2018-03-09,IBS Scherer GmbH,Gewerbegebiet D-55599 Gau-Bickelheim,Niemcy,spółka z o.o.,Produkcja i sprzedaż urządzeń i płynów myjących do przemysłowego czyszczenie i konserwacji powierzchni.,Peter Plewnia,ul. Zamieniecka 54/13,04-158,Warszawa,mazowieckie,Wykreślone 04-09-2020,
485/R,2018-09-24,HSH Chemie GmbH,Lilenstraße 15 20095 Hamburg,Niemcy,spółka z o.o.,"Handel wszelkiego rodzaju chemikaliami oraz produktami podobnymi lub pokrewnymi, w szczególności również import i eksport, o ile nie są wymagane żadne pozwolenia urzędowe.","Stephan (Peter) Löhden, Friedrich Stefan Rather ",ul. Płowiecka 1,04-501,Warszawa,mazowieckie,Wykreślone 25-09-2020,
486/R,2018-03-10,OLETTIKO LTD,"Whatelays Drive 53 CV8 2GY Kenilworth, Coventry",Wielka Brytania,spółka z o.o.,Niewyspecjalizowany handel hurtowy.,Jurijs Degtjarevs ,ul. Hoża 86 lok. 210,00-682,Warszawa,mazowieckie,Wykreślone 04-10-2020,
487/R,2018-10-24,Walterscheid GmbH,Hauptstraße 150 53797 Lohmar,Niemcy,spółka z o.o.,"Kupowanie i sprzedawanie produktów, szczególnie do pojazdów mechanicznych, hydrauliki i inżynierii rolniczej, a także ich napraw, świadczenie usług na rzecz firm w kraju i za granicą, które prowadzą działalność w zakresach wymienionych powyżej. ",Adam Radomski ,Al. Krakowska 9,05-090,Sękocin Nowy,mazowieckie,Aktywne,24.10.2026
488/R,2018-10-24,GLORY TEAMS LIMTED,"Wing Hong Street 63, Global Gateway Tower, Flat/RM 1006 10/F Cheung Sha Wan",Chiny/Hongkong,spółka z o.o.,Wszelka działalność gospodarcza dopuszczona przez prawo chińskie (holding inwestycyjny).,Yaroslav Bera ,ul. Fryderyka Chopina 36/5,51-609,Wrocław,dolnośląskie,Wykreślone 25-10-2022,
489/R,2018-10-29,MBDA Missile Systems Services,Avenue REAUMUR 1 92350 Le Plessis-Robinson,Francja,spółka akcyjna uproszczona,"Obejmowanie udziałów i tytułów uczestnictwa we wszelkiego rodzaju spółkach i przedsiębiorstwach francuskich lub zagranicznych. Projektowanie, badanie, realizacja i komercjalizacja produktów oraz złożonych systemów wykorzystywanych do celów przemysłowych, wojskowych lub cywilnych, przy użyciu technologii klasycznych lub zaawansowanych, w tym w szczególności mechaniki, aeronautyki, informatyki, elektroniki i optyki świadczenie wszelkich usług wsparcia i kontroli księgowej, finansowej, prawnej i ogólnie administracyjnej, w imieniu i na rzecz spółek należnych do tej samej grupy kapitałowej.",James Edward Owen Price,Pl. Trzech Krzyży 10/14,00-499,Warszawa,mazowieckie,Aktywne,29.10.2026
490/R,2018-10-31,Newest Mondial Technologies Ltd,Baker Street 120 W1U 6TU Londyn  ,Wielka Brytania,spółka z o.o.,Opracowywanie projektów budowlanych. Budowa obiektów użyteczności dla sektora elektrycznego i telekomunikacyjnego. Budowa innych obiektów inżynierii ziemnej nie skalsyfikowanych nigdzie indziej. Sprzedaż hurtowa sprzętu i części elektrycznych i telekomunikacyjnych.,Iryna Mazur ,ul. Bolesława Limanowskiego 28 B lok. 11,02-943,Warszawa,mazowieckie,Wykreślone 01-11-2020,
491/R,2018-09-11,OOO Maxima Group,ul. Roczdielskaja 15/15 lok. 4 123376 Moskwa,Rosja,spółka z o.o.,"Handel detaliczny, w szczególności sprzedaż detaliczna (za pośrednictwem sklepów) towarów po obniżonej cenie.",Malwina Winter,ul. Emilii Plater 53,00-113,Warszawa,mazowieckie,Wykreślone 11-07-2020,
492/R,2018-11-13,JUST2TRADE ONLINE LTD,Chrysanthou Mylona 10 3030 Limassol,Cypr,spółka z o.o.,"Działalność maklerska i dodatkowa firmy inwestycyjnej, na podstawie ustawy z 2007-2009 r o usługach i działalności inwestycyjnej i rynkach regulowanych (L.144(I)2007) (z późniejszymi zmianami) oraz zezwolenia udzielonego przez Cypryjską Komisję Papierów Wartościowych i Giełd.",Malwina Katarzyna Klimczak,ul. Chłodna 51,00-867,Warszawa,mazowieckie,Wykreślone 15-11-2022,
493/R,2018-11-15,"SIA ""BALTIMEX TRADING""",Elizabetes iela 45/47 LV-1010 Ryga  ,Łotwa,spółka z o.o.,"Handel drewnem, elektryką, materiałami budowlanymi; usług spedycyjnymi, usługi IT.",Aliaksei Aerau,ul. Gwiaździsta 7 D lok. 15,01-651,Warszawa,mazowieckie,Wykreślone 16-11-2020,
494/R,2019-03-01,Aadek Hout B.V.,Burgemeester de Grootstraat 12 5374 GE Schaijk,Niderlandy,spółka z o.o.,Sprzedaż hurtowa drewna i płyt.,Anita Kucmin-Doomernik,ul. Noniewicza 95 C lok. 17,16-400,Suwałki,podlaskie,Aktywne,03.01.2027
495/R,2019-11-01,Hitevision Tech Europe SL,"Ronda de Poniente 2 28760 Tres Cantos, Madryt",Hiszpania,spółka z o.o.,"Handel, dystrybucja i sprzedaż urządzeń technologicznych i informatycznych oraz wszelkie usługi z nimi związane, m.in. konserwacja i naprawa tych produktów.",Robert Pusz ,Al. Jerozolimskie 200 bud. 2 lok. 322,02-486,Warszawa,mazowieckie,Wykreślone 12-01-2021,
496/R,2019-11-01,Marine Stewardship Council,1 Snow Hill EC1A 2DH Londyn,Wielka Brytania,niepubliczna spółka z o.o. do wysokości gwarancji,"Sprzedaż, dzierżawa lub najem posiadanego majątku oraz udzielanie licencji i uprawnień do korzystania z posiadanych praw własności intelektualnej, w szczególności znaku towarowego przeznaczonego na oznaczenie owoców morza dla podmiotów działających na rynku przetwórstwa rybnego.",Anna Dębicka,ul. Narbutta 83 lok. I 5,02-524,Warszawa,mazowieckie,Aktywne,11.01.2027
497/R,2019-01-22,Trademarks Agencies,"Prince Shakir bin Zaid, Abu Ghazaleh Complex 11192 Amman",Jordania,spółka z o.o.,Edukacja i szkolenia. Agencje Patentowe. Inwestowanie i obrót papierami wartościowymi. Agencje rejestracji znaków i nazw handlowych. Zakładanie stron internetowych. Usługi internetowe. Biuro tłumaczeń.,Dariusz Sikora,"ul. Grzybowska 87, Concept Tower, Vimar Office",00-844,Warszawa,mazowieckie,Wykreślone 23-01-2021,
498/R,2019-01-25,Atlas Concors APS,Skindergade 15 1159 København K,Dania,spółka z o.o.,Świadczenie międzynarodowych usług transportowych.,Roksana Szymańska,ul. Szkolna 9 A/5 B,05-090,Raszyn,mazowieckie,Wykreślone 26-01-2021,
499/R,2019-02-19,Inver House Distillers Limited,"Roughrigg Rd, Moffat Distillery ML6 8FU Airdrie",Wielka Brytania,spółka z o.o.,"Produkcja whisky słodowej opartej na indywidualnej recepturze,  mieszanie szkockiej whisky i produkcja mieszanek alkoholu w ramach swojego portfolio, destylacja alkoholu, w szczególności ginu Caorunn, produkcja różnych wódek z rejonów Airdrie, Szkocja.",Viktor Kujawski,Pl. Piłsudskiego 1,00-078,Warszawa,mazowieckie,Wykreślone 20-02-2021,
500/R,2019-03-28,actidata Storage Systems GmbH,Wulfshofstrasse 16 44149 Dortmund,Niemcy,spółka z o.o.,"Projektowanie, tworzenie i dystrybucja wszelkiego rodzaju systemów przetwarzania danych oraz wszystkie związane z tym czynności.",Tomasz Filipów,ul. Tadeusza Kościuszki 1,32-020,Wieliczka,małopolskie,Aktywne,28.03.2027
501/R,2019-12-04,ACP Freight Services Limited,"Old Commercial Road 373-375 PO1 4QG Portsmouth, Hampshire  ",Wielka Brytania,spółka z o.o.,Transport drogowy towarów.,Krzysztof Piotr Turski,ul. Tomasza Zana 1,20-601,Lublin,lubelskie,Aktywne,12.04.2027
502/R,2019-05-20,"LSK Global Pharma Services Co., LTD.","Coryo Daeyungak Tower 16th Fl. 97 Toegye-ro, Jung-gu Seul",Republika Korei,spółka z o.o.,"Badanie i rozwój eksperymentalny w dziedzinie fizyki, chemii i biologii.",Jung Min Lee,ul. Emilii Plater 53 lok. 1457 RESCO-WORK 01,00-113,Warszawa,mazowieckie,Aktywne,20.05.2027
503/R,2019-05-23,"OOO ""Bremino Grupp""",Zawodowskaja 1K lok. 1 211004 Bolbasowo,Białoruś,spółka z o.o.,Sprzedaż hurtowa odzieży.,Artur Dounar,ul. Konstruktorska 12 A,02-673,Warszawa,mazowieckie,Wykreślone 14-10-2021,
504/R,2019-05-06,AGIL personalservice GmbH,Hermann-Maul-Str. 2 21073 Hamburg,Niemcy,spółka z o.o.,Odstępowanie pracowników w ramach prowadzonej działalności gospodarczej w myśl przepisów niemieckiej Ustawy o odstępowaniu pracowników.,Artur Całek,ul. Opolska 4,47-300,Krapkowice,opolskie,Wykreślone 06-06-2021,
505/R,2019-06-13,TPL VISION,20 rue de Saint Philbert 44118 La Chevroliére,Francja,spółka z o.o.,"Wyspecjalizowany pośrednik handlowy sprzętu małogabarytowego, przemysłu mechanicznego, elektrycznego i elektronicznego.",Guillaume Mazeaud,ul. Rajska 6 lok. 310,80-850,Gdańsk,pomorskie,Wykreślone 14-06-2021,
506/R,2019-07-19,Robert Majkut Design Ltd,Kingston Road 590 SW20 8DN Londyn,Wielka Brytania,spółka z o.o.,"Usługi projektowe w zakresie: architektury wnętrz, małej architektury, architektury, projektowania produktu, projektowania graficznego.",Robert Majkut,ul. Koszykowa 10 lok. 5,00-564,Warszawa,mazowieckie,Wykreślone 20-07-2021,
507/R,2019-05-08,AGENCIA VASCA DE INTERNACIONALIZACION - BASQUE TRADE AND INVESTMENT S.A.,Alameda de Urquijo 36 48011 Bilbao,Hiszpania,spółka akcyjna,Usługi doradcze w zakresie prowadzenia działalności gospodarczej.,Maria Ainhoa Ondarzabal Izaguirre,Rondo ONZ 1 (Dago Centrum),00-124,Warszawa,mazowieckie,Wykreślone 06-08-2021,
508/R,2019-09-27,Inter Trade EST OÜ,Lõõtsa 5 11415 Tallinn ,Estonia,spółka z o.o.,Działalność agentów zajmujących się sprzedażą drewna i materiałów budowlanych.,Bolesław Karpiński,Al. Jana Pawła II 22,00-133,Warszawa,mazowieckie,Wykreślone 28-09-2021,
509/R,2019-03-10,"INABA PETFOOD Co., Ltd. ",Yuikitada 114-1 421-3104 Shizuoka-shi ,Japonia,spółka z o.o.,Produkcja i sprzedaż karmy dla zwierząt. Wszelka działalność związana z powyższą.,Tomohide Inagaki,ul. Bobrowiecka 1,00-728,Warszawa,mazowieckie,Wykreślone 04-10-2021,
510/R,2019-04-10,STANTE LOGISTICS S.R.L.,Via dei Gerani 4 70026 Modugno,Włochy,spółka z o.o.,"Bezpośrednie zarządzanie transportem krajowym i międzynarodowym, zarówno przy użyciu własnych środków, jak i środków osób trzecich, wynajętych lub wydzierżawionych, w każdym razie dostępnych dla spółki, jak również pośrednie zarządzanie transportem (podwykonawstwo dla innego podmiotu świadczącego usługi transportowe) towarów i osób przy użyciu środków wszelkiego rodzaju (transport drogowy, kolejowy, lotniczy, rzeczny), dokonywanie oclenia, składowanie towarów.",Jakub Bocheński,ul. Widok 8,00-023,Warszawa,mazowieckie,Wykreślone 07-07-2021,
511/R,2019-09-10,MYNAVI CORPORATION,Hitotsubashi 1-1-1 100-0001 Tokio ,Japonia,spółka akcyjna,"Wydawanie gazet i przedsięwzięcia wydawnicze oraz przedsięwzięcia z zakresu wydawnictw elektronicznych. Dostarczanie informacji o zatrudnieniu oraz dodatkowo w zakresie poszukiwania pracowników/zatrudniania. Działalność reklamowa i ogłoszeniowa z zakresu public relations. Przedsięwzięcia z zakresu delegowania pracowników. Przedsięwzięcia z zakresu odpłatnego pośrednictwa pracy. Planowanie, proponowanie, realizacja seminariów, wykładów, szkoleń itp. Szkolenie zasobów ludzkich, doradztwo w zakresie zatrudniania przedsiębiorstwami, prace z zakresu szkoleń i treningów. Dostarczanie informacji dotyczących wstąpienia do liceum, na uniwersytet, do szkoły specjalistycznej oraz doradztwo dotyczące poszukiwania uczniów i studentów. Administrowanie różnego rodzaju egzaminami nadającymi kwalifikacje oraz kontraktowanie administrowania. Działalność z zakresu delegowania korepetytorów. Dostarczanie informacji dotyczących wynajmu/przenoszenia prawa własności nieruchomości.  Dostarczanie informacji dotyczących infrastruktury noclegowej. Działalność biura podróży. Planowanie, proponowanie, realizacja międzynarodowych przedsięwzięć z zakresu kultury, badań naukowych, sztuki, sportu, itd.  Działalność z zakresu zdobywania klientów dla ubezpieczeń na życie oraz działalność agencyjna w zakresie ubezpieczeń od szkód. Zarzadzanie różnego rodzaju kursami, szkołami komputerowymi oraz przedsięwzięcia z zakresu nauki zaocznej i sprzedaż związanych z tym produktów. Działalność tłumaczeniowa. Planowanie, działalność rozwojowa, produkcja, sprzedaż oraz eksport i import oprogramowania komputerowego, oprogramowania do gier, oprogramowania video, oprogramowania muzycznego. Przetwarzanie informacji, usługi dostarczania informacji z wykorzystaniem złączy telekomunikacyjnych: telefonu i innych oraz systemów komputerowych. Administrowanie centrami kontaktowymi. Outsourcing procesów biznesowych. Tworzenie map/informacji dotyczących lokalizacji przestrzennej poprzez przetwarzanie komputerowe. Projektowanie, sprzedaż, eksport i import oraz pośrednictwo w zakresie artykułów codziennego użytku, odzieży/ artykułów odzieżowych, akcesoriów, maskotek, napojów itd. Zarzadzanie, prowadzenie, administrowanie oraz planowanie i działalność rozwojowa dotycząca lokali gastronomicznych. Sprzedaż online. Planowanie i prowadzenie aukcji. Działalność agencyjna w zakresie wysyłania publikacji i produktów. Administrowanie, stosowanie, sprzedaż, i pośrednictwo dotyczące własności intelektualnej: praw autorskich, praw do znaku handlowego i innych. Wynajem, kupno i sprzedaż, pośrednictwo i promowanie oraz administrowanie nieruchomościami. Zarządzanie, administrowanie budynkami oraz ich planowanie i działalność deweloperska. Akupunktura, termopunktura, masaże.",Koichiro Shimamori,ul. Hubska 52-54 lok. U-13,50-502,Wrocław,dolnośląskie,Wykreślone 04-11-2024,
512/R,2019-09-10,SHURE EUROPE GmbH ,Jakob-Dieffenbacher-Straße 12 75031 Eppingen,Niemcy,spółka z o.o.,Handel elektronicznymi urządzeniami i sprzętem oraz realizacja wszystkich związanych z tym transakcjami z importem i eksportem włącznie oraz doradztwo techniczne i handlowe w zakresie handlu tymi artykułami.,Marcel Trost,Al. Jerozolimskie 96,00-807,Warszawa,mazowieckie,Wykreślone 10-10-2023,
513/R,2019-10-30,SHANGHAI JOIUS LAW FIRM,"Hengfeng Road 600, Building (1-5), Room (2301-28) 200070 Szanghaj",Chiny,spółka partnerska,Działalność prawnicza.,Deying Ding,Al. Jerozolimskie 99/16,02-001,Warszawa,mazowieckie,Aktywne,30.10.2025
